Category,Task
Budget & Planning,"Set wedding budget"
Budget & Planning,"Choose wedding date"
Budget & Planning,"Create guest list draft"
Budget & Planning,"Determine wedding style and theme"
Budget & Planning,"Research wedding costs"
Budget & Planning,"Hire wedding planner"
Budget & Planning,"Purchase wedding insurance"
Budget & Planning,"Open wedding registry"
Budget & Planning,"Create wedding budget spreadsheet"
Budget & Planning,"Research wedding inspiration"
Budget & Planning,"Finalize guest count"
Budget & Planning,"Choose wedding party"
Budget & Planning,"Set up wedding planning binder"
Budget & Planning,"Review vendor contracts"
Venue & Rentals,"Book wedding venue"
Venue & Rentals,"Book ceremony venue"
Venue & Rentals,"Book reception venue"
Venue & Rentals,"Reserve ceremony chairs"
Venue & Rentals,"Rent table linens and dinnerware"
Venue & Rentals,"Arrange tent rental if outdoor"
Venue & Rentals,"Verify venue permits and licenses"
Venue & Rentals,"Book cocktail hour space"
Venue & Rentals,"Reserve dance floor"
Venue & Rentals,"Rent arch or arbor for ceremony"
Venue & Rentals,"Book getting-ready suite"
Venue & Rentals,"Arrange lounge furniture rental"
Venue & Rentals,"Reserve portable restrooms"
Venue & Rentals,"Book coat check area"
Ceremony,"Book officiant"
Ceremony,"Write vows"
Ceremony,"Choose ceremony music"
Ceremony,"Plan processional order"
Ceremony,"Arrange rehearsal"
Ceremony,"Obtain marriage license"
Ceremony,"Meet with officiant"
Ceremony,"Choose ceremony readings"
Ceremony,"Select ring bearer and flower girl"
Ceremony,"Plan unity ceremony"
Ceremony,"Finalize ceremony script"
Ceremony,"Arrange ceremony programs"
Ceremony,"Book ceremony musicians"
Ceremony,"Prepare reader gifts"
Ceremony,"Plan aisle runner"
Reception & Catering,"Book caterer"
Reception & Catering,"Schedule tasting"
Reception & Catering,"Finalize menu"
Reception & Catering,"Order wedding cake"
Reception & Catering,"Arrange bar service"
Reception & Catering,"Choose signature cocktails"
Reception & Catering,"Plan appetizer menu"
Reception & Catering,"Finalize guest meal preferences"
Reception & Catering,"Arrange late-night snacks"
Reception & Catering,"Schedule cake cutting"
Photography & Videography,"Book photographer"
Photography & Videography,"Book videographer"
Photography & Videography,"Create shot list"
Photography & Videography,"Schedule engagement photos"
Photography & Videography,"Plan photo timeline"
Photography & Videography,"Arrange drone photography"
Music & Entertainment,"Book DJ or band"
Music & Entertainment,"Create must-play song list"
Music & Entertainment,"Choose first dance song"
Music & Entertainment,"Select parent dance songs"
Music & Entertainment,"Book photo booth"
Music & Entertainment,"Arrange live music for cocktail hour"
Music & Entertainment,"Plan reception entrance song"
Music & Entertainment,"Create do-not-play list"
Flowers & Décor,"Book florist"
Flowers & Décor,"Purchase décor items"
Flowers & Décor,"Choose bridal bouquet"
Flowers & Décor,"Select bridesmaids bouquets"
Flowers & Décor,"Order boutonnieres and corsages"
Flowers & Décor,"Plan centerpieces"
Flowers & Décor,"Arrange ceremony flowers"
Flowers & Décor,"Book lighting designer"
Flowers & Décor,"Choose table numbers"
Flowers & Décor,"Order wedding cake topper"
Attire & Accessories,"Shop for wedding dress"
Attire & Accessories,"Order wedding dress"
Attire & Accessories,"Schedule dress fittings"
Attire & Accessories,"Shop for groom attire"
Attire & Accessories,"Order groom suit/tux"
Attire & Accessories,"Choose wedding shoes (bride)"
Attire & Accessories,"Choose wedding shoes (groom)"
Attire & Accessories,"Purchase wedding jewelry"
Attire & Accessories,"Shop for wedding rings"
Attire & Accessories,"Buy wedding rings"
Attire & Accessories,"Get rings engraved"
Attire & Accessories,"Order ring bearer pillow"
Attire & Accessories,"Select veil or headpiece"
Attire & Accessories,"Choose bridesmaids dresses"
Attire & Accessories,"Select groomsmen attire"
Attire & Accessories,"Purchase undergarments"
Attire & Accessories,"Buy something borrowed/blue"
Attire & Accessories,"Final dress fitting"
Attire & Accessories,"Break in wedding shoes"
Attire & Accessories,"Order flower girl dress"
Attire & Accessories,"Order ring bearer outfit"
Attire & Accessories,"Purchase garter"
Hair & Makeup,"Book hair stylist"
Hair & Makeup,"Book makeup artist"
Hair & Makeup,"Schedule hair trial"
Hair & Makeup,"Schedule makeup trial"
Hair & Makeup,"Book bridal party hair/makeup"
Hair & Makeup,"Plan skincare routine"
Guest List & Invitations,"Create master guest list"
Guest List & Invitations,"Collect guest addresses"
Guest List & Invitations,"Order save the dates"
Guest List & Invitations,"Mail save the dates"
Guest List & Invitations,"Design invitations"
Guest List & Invitations,"Order invitations"
Guest List & Invitations,"Mail invitations"
Guest List & Invitations,"Track RSVPs"
Guest List & Invitations,"Follow up with non-responders"
Guest List & Invitations,"Create seating chart"
Guest List & Invitations,"Print place cards"
Guest List & Invitations,"Order escort cards"
Guest List & Invitations,"Create seating display"
Guest List & Invitations,"Print guest list for vendors"
Transportation,"Book wedding transportation"
Transportation,"Arrange guest shuttle service"
Transportation,"Book getaway car"
Transportation,"Coordinate parking arrangements"
Transportation,"Book valet service"
Accommodations & Travel,"Reserve hotel room blocks"
Accommodations & Travel,"Book accommodations for wedding night"
Accommodations & Travel,"Share hotel info with guests"
Registry & Gifts,"Complete registry"
Registry & Gifts,"Add registry to website"
Registry & Gifts,"Purchase wedding party gifts"
Registry & Gifts,"Buy parent gifts"
Registry & Gifts,"Prepare vendor tips"
Wedding Favors & Details,"Order wedding favors"
Wedding Favors & Details,"Design ceremony programs"
Wedding Favors & Details,"Print menus"
Wedding Favors & Details,"Create signage"
Wedding Favors & Details,"Order guest book"
Pre-Wedding Events,"Plan engagement party"
Pre-Wedding Events,"Plan bridal shower"
Pre-Wedding Events,"Plan bachelorette party"
Pre-Wedding Events,"Plan bachelor party"
Pre-Wedding Events,"Attend bridal shower"
Pre-Wedding Events,"Plan rehearsal dinner"
Pre-Wedding Events,"Book rehearsal dinner venue"
Pre-Wedding Events,"Create rehearsal dinner guest list"
Pre-Wedding Events,"Order rehearsal dinner invitations"
Pre-Wedding Events,"Coordinate couples shower"
Honeymoon Planning,"Research honeymoon destinations"
Honeymoon Planning,"Book flights"
Honeymoon Planning,"Book accommodations"
Honeymoon Planning,"Plan activities"
Honeymoon Planning,"Purchase travel insurance"
Honeymoon Planning,"Get vaccinations if needed"
Honeymoon Planning,"Create packing list"
Honeymoon Planning,"Arrange pet care"
Honeymoon Planning,"Set up house sitting"
Honeymoon Planning,"Exchange currency"
Wedding Website & Communications,"Create wedding website"
Wedding Website & Communications,"Add event details to website"
Wedding Website & Communications,"Add accommodations info"
Wedding Website & Communications,"Share wedding hashtag"
Wedding Website & Communications,"Set up RSVP system"
Vendor Management,"Compile vendor contact list"
Vendor Management,"Confirm all vendor bookings"
Vendor Management,"Finalize vendor payments"
Vendor Management,"Create vendor timeline"
Vendor Management,"Share contact info with vendors"
Wedding Day Timeline,"Create day-of timeline"
Wedding Day Timeline,"Assign day-of coordinator"
Wedding Day Timeline,"Create emergency kit"
Wedding Day Timeline,"Pack overnight bag"
Wedding Day Timeline,"Prepare toasts"
Wedding Day Timeline,"Break in reception shoes"
Health & Wellness,"Schedule pre-wedding workout plan"
Health & Wellness,"Book spa day"
Health & Wellness,"Schedule teeth whitening"
Health & Wellness,"Get manicure/pedicure"
Legal & Administrative,"Update name on documents"
Legal & Administrative,"Notify Social Security"
Legal & Administrative,"Update driver's license"
Legal & Administrative,"Update passport"
Legal & Administrative,"Update insurance policies"
Legal & Administrative,"Combine bank accounts"
Post-Wedding,"Send thank you notes"
Post-Wedding,"Preserve wedding dress"
Post-Wedding,"Order wedding album"
Post-Wedding,"Frame favorite photos"
Post-Wedding,"Submit marriage certificate"
Post-Wedding,"Share wedding photos with guests"
Post-Wedding,"Return rental items"
Post-Wedding,"Review vendor services"
Post-Wedding,"Organize wedding keepsakes"
Post-Wedding,"Back up wedding photos"
Post-Wedding,"Order thank you card photos"
Post-Wedding,"Create wedding video highlights"
Post-Wedding,"Donate or sell wedding items"
Post-Wedding,"Write vendor reviews"
Post-Wedding,"Update social media"
Post-Wedding,"Box and store wedding items"
Post-Wedding,"Cancel vendor trials/subscriptions"
Post-Wedding,"Create digital wedding archive"
Post-Wedding,"Update emergency contacts"
Post-Wedding,"Plan first anniversary"
Post-Wedding,"Create wedding memory book"
Post-Wedding,"Share professional photos"
Post-Wedding,"Create thank you video"
Post-Wedding,"Finalize budget reconciliation"